val_performance,val_performance_norm,val_robustness,val_ds_performance,fmow-val_performance,fmow-val_robustness,fmow-id_val-corruption1_val_performance,fmow-id_val-corruption1_val_robustness,fmow-id_val_adv_performance,val_security,val_calibration,fmow-id_val_calibration,fmow-val_calibration,fmow-id_val-corruption1_val_calibration,val_ood_detection,val_hre_score,epoch,step,test_performance,test_performance_norm,test_robustness,test_ds_performance,fmow-test_performance,fmow-test_robustness,fmow-id_test-corruption1_test_performance,fmow-id_test-corruption1_test_robustness,fmow-id_test_adv_performance,test_security,test_calibration,fmow-id_test_calibration,fmow-test_calibration,fmow-id_test-corruption1_test_calibration,test_ood_detection,test_hre_score
0.6708984375,0.6708984375,0.8886463046073914,0.59619140625,0.66796875,0.9956331849098206,0.5244140625,0.7816593647003174,-1.0,-1.4905385971069336,0.753179132938385,0.7597275972366333,0.7561641931533813,0.7436455488204956,0.8209526538848877,0.783419132232666,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0.6611328125,0.6611328125,0.8663219809532166,0.57275390625,0.599609375,0.9069423675537109,0.5458984375,0.8257016539573669,-1.0,-1.5125553607940674,0.7393988370895386,0.756793200969696,0.7130607962608337,0.7483425140380859,0.8191385269165039,0.7714980244636536
