val_performance,val_performance_norm,val_robustness,val_ds_performance,rxrx1-val_performance,rxrx1-val_robustness,rxrx1-id_val-corruption1_val_performance,rxrx1-id_val-corruption1_val_robustness,rxrx1-id_val_adv_performance,val_security,val_calibration,rxrx1-id_val_calibration,rxrx1-val_calibration,rxrx1-id_val-corruption1_val_calibration,val_ood_detection,val_hre_score,epoch,step,test_performance,test_performance_norm,test_robustness,test_ds_performance,rxrx1-test_performance,rxrx1-test_robustness,rxrx1-id_test-corruption1_test_performance,rxrx1-id_test-corruption1_test_robustness,rxrx1-id_test_adv_performance,test_security,test_calibration,rxrx1-id_test_calibration,rxrx1-test_calibration,rxrx1-id_test-corruption1_test_calibration,test_ood_detection,test_hre_score
0.3876953125,0.3876953125,0.3387909233570099,0.13134765625,0.2060546875,0.5314861536026001,0.056640625,0.14609572291374207,-1.0,-2.5793449878692627,0.4851777255535126,0.7532387971878052,0.48786306381225586,0.2144312858581543,0.5275259017944336,0.434797465801239,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0.3896484375,0.3896484375,0.5225563645362854,0.20361328125,0.3134765625,0.8045112490653992,0.09375,0.24060150980949402,-1.0,-2.566416025161743,0.477510005235672,0.7468219995498657,0.5711605548858643,0.11454743146896362,0.5292284488677979,0.4797358214855194
